sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 07, 2026 11:39:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
hyperram:hyperram                                           	   522(0)	     0(0)	   107(0)	   647(0)	     0(0)	    13(0)	     0(0)	
 +u_hbram_top:hbram_top_2d715ebddfec4a2289c485ca66dd30eb(RAM_DBW=8,RAM_ABW=24,CR0_ODS=0,CR0_ILC=2,CR0_WBL=3,CR1_HSE=1'b0,CR1_PAR=0,AXI_IF=1'b0,AXI_DBW=64,AXI_SBW=8,AXI_W_DEPTH=16,AXI_R_DEPTH=16,DDIN_MODE=1'b0,CAL_CLK_CH=4,CAL_CLK_CH_LO=4,CAL_CLK_CH_HI=8,CAL_BYTES=100,RECAL_DAYS=7,RWDS_OUT_MODE=1)	   522(0)	     0(0)	   107(0)	   647(0)	     0(0)	    13(0)	     0(0)	
  +hard_cal_block.hbram_cal_axi_top_inst:hbram_cal_axi_top_2d715ebddfec4a2289c485ca66dd30eb_renamed_due_excessive_length_1	  522(10)	     0(0)	   107(0)	  647(12)	     0(0)	    13(0)	     0(0)	
   +axi_rst_syncronizer:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
    +active_low.efx_resetsync_active_low:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
   +ram_rst_syncronizer:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
    +active_low.efx_resetsync_active_low:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
   +ramcal_rst_syncronizer:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
    +active_low.efx_resetsync_active_low:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
   +interface_block2.hbram_native_if_inst:hbram_native_if_2d715ebddfec4a2289c485ca66dd30eb(USER_DBW=64,USER_WFD=16,USER_RFD=16,RAM_DBW=8,RAM_ABW=24)	  149(20)	     0(0)	   18(11)	  147(58)	     0(0)	    12(0)	     0(0)	
    +xop_done_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
