# name x y w h  l t r b  fill
window                 0 0 11 37  5 31 5 5  stretch
window.inactive        0 38 11 37  5 31 5 5  stretch
titlebar               0 76 11 31  5 0 5 0  stretch
titlebar.inactive      0 108 11 31  5 0 5 0  stretch
close                  0 140 20 20  0 0 0 0  none
minimize               0 161 16 16  0 0 0 0  none
maximize               0 178 20 20  0 0 0 0  none
view                   0 199 20 20  0 0 0 0  none
fit                    0 220 20 20  0 0 0 0  none
button                 0 241 9 25  4 0 4 0  stretch
button.selected        0 267 9 25  4 0 4 0  stretch
button.disabled        0 293 9 25  4 0 4 0  stretch
button.default         0 319 9 25  4 0 4 0  stretch
button.default.pressed 0 345 9 25  4 0 4 0  stretch
textfield              0 371 9 9  4 4 4 4  stretch
textfield.focused      0 381 19 19  9 9 9 9  stretch
textfield.disabled     0 401 9 9  4 4 4 4  stretch
popup                  0 411 29 25  4 0 24 0  stretch
popup.disabled         0 437 29 25  4 0 24 0  stretch
combo                  0 463 29 25  4 0 24 0  stretch
combo.focused          0 489 37 31  9 0 27 0  stretch
combo.disabled         0 521 29 25  4 0 24 0  stretch
check                  0 547 21 21  0 0 0 0  none
check.selected         0 569 21 21  0 0 0 0  none
check.mixed            0 591 21 21  0 0 0 0  none
check.pressed          0 613 21 21  0 0 0 0  none
radio                  0 635 21 21  0 0 0 0  none
radio.selected         0 657 21 21  0 0 0 0  none
radio.pressed          0 679 21 21  0 0 0 0  none
vscroll.track          0 701 11 1  0 0 0 0  none
vscroll.thumb          0 703 9 9  0 4 0 4  stretch
vscroll.up             0 713 10 7  0 0 0 0  none
vscroll.down           0 721 10 7  0 0 0 0  none
hscroll.track          0 729 1 11  0 0 0 0  none
hscroll.thumb          0 741 9 9  4 0 4 0  stretch
hscroll.left           0 751 7 10  0 0 0 0  none
hscroll.right          0 762 7 10  0 0 0 0  none
slider.htrack          0 773 5 5  2 0 2 0  stretch
slider.vtrack          0 779 5 7  0 3 0 3  stretch
slider.knob            0 787 21 21  0 0 0 0  none
slider.knob.hi         0 809 21 21  0 0 0 0  none
slider.circular        0 831 30 30  0 0 0 0  none
slider.circular.knob   0 862 5 5  0 0 0 0  none
stepper.up             0 868 25 13  4 0 4 0  stretch
stepper.down           0 882 25 12  4 0 4 0  stretch
menu                   0 895 15 15  7 7 7 7  stretch
menu.tick              0 911 14 14  0 0 0 0  none
header                 0 926 1 25  0 0 0 0  none
header.pressed         0 952 1 25  0 0 0 0  none
alert.note             0 978 53 46  0 0 0 0  none
alert.wait             0 1025 48 43  0 0 0 0  none
alert.stop             0 1069 53 46  0 0 0 0  none
