Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
R67,283.3370,65.7606,TopLayer,0
J3,283.4000,57.7342,TopLayer,270
C4,95.6552,41.5798,TopLayer,180
JY1,45.6166,34.3940,TopLayer,0
JY4,177.5312,34.3940,TopLayer,0
JY3,133.5680,34.3940,TopLayer,0
JY2,89.6006,34.3940,TopLayer,0
C59,74.2950,152.7810,TopLayer,0
J21,282.8920,167.2430,TopLayer,270
R66,230.1738,51.0484,TopLayer,180
R65,230.2500,59.0000,TopLayer,180
R64,230.2500,60.5000,TopLayer,0
R63,230.2501,61.9994,TopLayer,0
R62,42.2910,47.6758,TopLayer,0
R61,42.3164,49.0474,TopLayer,0
R60,42.3622,50.3878,TopLayer,0
R59,30.5000,148.5000,TopLayer,90
R58,35.7500,148.5000,TopLayer,90
R57,34.0000,148.5000,TopLayer,90
R56,32.2500,148.5000,TopLayer,90
R55,40.0000,97.7500,TopLayer,270
R54,41.7500,97.7500,TopLayer,270
R53,43.5000,97.7500,TopLayer,270
R51,40.0000,136.7500,TopLayer,90
R50,42.0000,136.7500,TopLayer,270
R52,263.5000,41.7500,TopLayer,0
J13,281.7500,37.5200,TopLayer,90
R49,100.5000,136.7500,TopLayer,90
R48,102.0000,136.7500,TopLayer,270
R47,99.0000,136.7500,TopLayer,90
R46,173.1772,150.9014,TopLayer,0
R45,109.5000,136.7500,TopLayer,90
R44,105.0000,136.7500,TopLayer,270
R43,97.5000,136.7500,TopLayer,90
R42,103.5000,136.7500,TopLayer,270
R41,108.0000,136.7500,TopLayer,90
R40,111.0000,136.7500,TopLayer,270
R39,106.5000,136.7500,TopLayer,90
IC14,54.1000,60.9000,TopLayer,90
C63,55.2000,55.7800,TopLayer,270
R38,280.5000,109.2500,TopLayer,0
R37,280.5250,110.5000,TopLayer,0
R36,280.5000,111.7500,TopLayer,0
R35,280.5000,113.0000,TopLayer,0
R34,280.5000,116.0000,TopLayer,0
R33,280.5000,117.2500,TopLayer,0
R32,280.5000,118.5000,TopLayer,0
R31,280.5000,119.7500,TopLayer,0
R30,280.5000,122.2500,TopLayer,0
U4,75.9460,142.6210,TopLayer,270
R29,71.5010,153.1620,TopLayer,180
R28,91.9480,149.4790,TopLayer,0
IC13,82.8040,146.8120,TopLayer,270
C62,77.4700,149.4790,TopLayer,180
C61,71.1200,148.3360,TopLayer,180
C60,74.2950,153.7970,TopLayer,0
C58,88.2650,148.7170,TopLayer,180
C57,88.2650,149.8600,TopLayer,180
C56,77.4700,146.6850,TopLayer,180
C55,77.4700,148.0820,TopLayer,180
C54,81.4070,140.3350,TopLayer,0
C53,71.1200,143.3830,TopLayer,180
R27,212.0138,130.9116,TopLayer,180
D1,35.0266,86.1314,TopLayer,180
R26,33.8836,75.4126,TopLayer,180
R25,33.8582,70.4342,TopLayer,180
J20,21.3000,73.4234,TopLayer,0
R24,33.6804,58.3184,TopLayer,180
R23,33.8074,62.9158,TopLayer,180
R22,43.9420,78.6638,TopLayer,0
R21,34.3764,81.9404,TopLayer,0
J19,21.3000,61.1806,TopLayer,0
J18,21.3000,84.4978,TopLayer,0
IC12,41.5290,60.7568,TopLayer,0
IC9,44.4246,84.6074,TopLayer,270
C52,44.3230,66.0146,TopLayer,180
C51,51.0032,81.4324,TopLayer,90
J17,269.4208,39.2938,TopLayer,90
J1,123.4400,168.8500,TopLayer,180
J16,140.2500,74.9500,TopLayer,90
J15,117.2500,74.9500,TopLayer,90
J14,94.2500,74.9500,TopLayer,90
J12,163.2500,74.9500,TopLayer,90
J11,71.2500,74.9500,TopLayer,90
C50,247.4916,48.8416,TopLayer,180
C49,244.1452,61.1676,TopLayer,270
R20,219.6592,44.4754,TopLayer,90
R19,201.3458,44.7040,TopLayer,90
R18,176.3268,166.4970,TopLayer,180
R17,174.4184,158.0630,TopLayer,270
C48,221.2986,41.7260,TopLayer,0
J10,225.2500,37.6700,TopLayer,0
J9,207.0000,37.6700,TopLayer,0
IC11,222.3748,44.1926,TopLayer,180
IC10,204.1390,44.5228,TopLayer,180
C47,177.3484,155.8130,TopLayer,180
C46,202.8874,42.1038,TopLayer,0
C45,178.5366,166.4970,TopLayer,180
C44,179.5000,163.5000,TopLayer,0
C43,208.0410,44.4892,TopLayer,90
C42,214.0000,44.5000,TopLayer,180
C41,195.7578,44.5000,TopLayer,180
Y2,248.1952,55.7676,TopLayer,180
J8,201.0000,164.9900,BottomLayer,0
C39,185.0000,169.0000,TopLayer,180
C40,185.0000,158.0000,TopLayer,180
IC8,176.7922,169.3652,TopLayer,270
IC7,176.8684,158.8130,TopLayer,270
R16,242.4752,48.9140,TopLayer,0
R15,239.6168,48.9014,TopLayer,180
R14,240.2522,50.8186,TopLayer,270
R13,245.5862,51.2186,TopLayer,270
C38,236.1882,55.5366,TopLayer,180
R12,245.3322,62.3946,TopLayer,270
C37,236.1882,56.5526,TopLayer,180
C36,246.6022,58.0766,TopLayer,0
C35,247.1102,52.7426,TopLayer,0
C34,246.6022,59.0926,TopLayer,0
C33,236.2162,58.3306,TopLayer,180
C32,241.2746,61.3664,TopLayer,90
C31,241.2682,50.9456,TopLayer,270
C30,247.1382,53.7586,TopLayer,180
C29,248.6342,58.0766,TopLayer,180
R11,242.8176,51.1678,TopLayer,270
