Name,Description,Designator,Quantity,Footprint
,,,,
0.1uF,Capacitor,"C1, C2, C12, C13, C14, C15, C16, C19, C21, C23, C24, C31, C32, C33, C34, C35, C36, C37, C38, C45, C46, C47, C48, C51, C52, C55, C56, C62, C63",29,0402
47nF,Capacitor,"C3, C4, C5, C6, C7, C8, C9, C10",8,GRM15x
10uF,Capacitor,"C11, C18, C43, C44",4,0402
1uF,Capacitor,"C17, C20, C22, C49, C50, C57, C59",7,0402
8.2pF,Capacitor,"C25, C26",2,C0402
2.2uF,Capacitor,"C27, C28",2,0402
18pF,Capacitor,"C29, C30",2,0402
120uF,Capacitor Polarised,"C39, C40, C41, C42",4,CAPAE660X600N
10uF,Capacitor Polarised,"C53, C54, C61",3,CAPAE430X550N
1nF,Capacitor,"C58, C60",2,0402
1N4148W-V-GS08,Diode,D1,1,SOD-123
SN74CB3T16210DGGR,Integrated Circuit,"IC1, IC2, IC5",3,SOP50P810X120-48N
STM32F411VET6U,Integrated Circuit,IC3,1,QFP50P1600X1600X160-100N
AP2112K-3.3,Integrated Circuit,IC4,1,SOT95P285X140-5N
USB2514B_M2,Integrated Circuit,IC6,1,QFN50P600X600X100-37N-D
TPS2051BDBVR,Integrated Circuit,"IC7, IC8, IC10, IC11",4,SOT95P280X145-5N
6N138,Integrated Circuit,IC9,1,DIP762W60P254L976H480Q8N
MC74HCT125ADR2G,Integrated Circuit,IC12,1,SOIC127P600X175-14N
PCM1808PWR,Integrated Circuit,IC13,1,PCM1808PWR
SN74HC138PWR,Integrated Circuit,IC14,1,SOP65P640X120-16N
CR22-50D-2.54DSA_70_,Connector,J2,1,CR2250D254DSA70
47053-1000,Connector,J3,1,470531000
5650118-1,Connector,J7,1,56501181
USB1035-GF-P-0-B-B,Connector,J8,1,USB1035GFP0BB
USB-AP-S-RA,Connector,"J9, J10",2,USBAPSRA
10018784-10201TLF,Connector,"J11, J12, J14, J15, J16",5,1001878410201TLF
PR20204VBNN,Connector,J13,1,HDRV4W64P0X254_1X4_1016X250X860P
FTSH-105-01-L-DV-K,Connector,J17,1,FTSH10501LDVK
PJ-320E,Connector,"J18, J19, J20",3,PJ320E
KLDX-0202-BC,Connector,J21,1,KLDX0202BC
DE09-PL-25,,"JY1, JY2, JY3, JY4",4,DE09PL25
1K,Resistor,"R1, R2, R3, R4, R5, R6, R7, R8",8,0402
10K,Resistor,"R9, R11, R17, R18, R19, R20, R51, R52, R54, R60, R61, R62, R63, R64, R65, R66",16,0402
100K,Resistor,"R10, R13, R14, R15, R16",5,0402
"12K, 1%",Resistor,R12,1,0402
"220R, 1/8W",Resistor,"R21, R23, R24, R25, R26, R28, R29, R67",8,0803
4.7K,Resistor,"R22, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R53, R55, R56, R57, R58, R59",19,0402
33R,Resistor,"R27, R30, R31, R32, R33, R34, R35, R36, R37, R38",10,CRCW0402200KFKED
MPZ1608S601A,Undefined or Miscellaneous,"U1, U4",2,0603
M55-7008042R,Connector,"U2,U5",2,M55-7008042R
8MHz,Crystal or Oscillator,Y1,1,C3E
24MHz,Crystal or Oscillator,Y2,1,RH10024000181020EXTTR
