JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：Atari-XT-JLCPCB Assembly Order.xlsx,,,Download Time：2026-07-17 00:27:52,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：88.0650,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C2,C12,C13,C14,C15,C16,C19,C21,C23,C24,C31,C32,C33,C34,C35,C36,C37,C38,C45,C46,C47,C48,C51,C52,C55,C56,C62,C63",,0.1uF,0402,,Unconfirmed,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,155,155 JLCPCB,0.8215
"C3,C4,C5,C6,C7,C8,C9,C10",,47nF,GRM15x,,Select by Customer,0402B473K500NT,FH (Guangdong Fenghua Advanced Tech),0402,47nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C82219,https://jlcpcb.com/partdetail/83376-0402B473K500NT/C82219,Extended,52,52 JLCPCB,0.6552
"C11,C18,C43,C44",,10uF,0402,,Select by Customer,CL05A106MP5NUNC,Samsung Electro-Mechanics,0402,10V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C315248,https://jlcpcb.com/partdetail/297154-CL05A106MP5NUNC/C315248,Extended,32,32 JLCPCB,1.76
"C17,C20,C22,C49,C50,C57,C59",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,45,45 JLCPCB,1.1925
"C25,C26",,8.2pF,C0402,,Select by System,0402CG8R2C500NT,FH (Guangdong Fenghua Advanced Tech),0402,50V 8.2pF C0G 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1579,https://jlcpcb.com/partdetail/1931-0402CG8R2C500NT/C1579,Extended,20,20 JLCPCB,0.13
"C27,C28",,2.2uF,0402,,Select by System,CL05A225MQ5NSNC,Samsung Electro-Mechanics,0402,2.2uF 6.3V X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C12530,https://jlcpcb.com/partdetail/13164-CL05A225MQ5NSNC/C12530,Basic,20,20 JLCPCB,0.212
"C29,C30",,18pF,0402,,Select by System,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,18pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1549,https://jlcpcb.com/partdetail/1901-0402CG180J500NT/C1549,Basic,20,20 JLCPCB,0.158
"C39,C40,C41,C42",,120uF,CAPAE660X600N,,Select by Customer,VMMC0571C121MV,Ymin,"SMD,D6.3xL5.7mm","120uF 16V 5.7mm 6.3mm ±20% SMD,D6.3xL5.7mm Aluminum Electrolytic Capacitors - SMD ROHS",Aluminum Electrolytic Capacitors - SMD,,C487044,https://jlcpcb.com/partdetail/Ymin-VMMC0571C121MV/C487044,Extended,21,21 JLCPCB,2.9379
"C53,C54,C61",,10uF,CAPAE430X550N,,Select by Customer,RVT1C100M0405,Honor Elec,"SMD,D4xL5.4mm","-55℃~+105℃ 10uF 16V 2000hrs@105℃ 4mm 5.4mm ±20% SMD,D4xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",Aluminum Electrolytic Capacitors - SMD,,C3357,https://jlcpcb.com/partdetail/HonorElec-RVT1C100M0405/C3357,Extended,23,23 JLCPCB,0.6509
